rank,Unnamed: 0,restaurant,Price,Rating,Dishes,review-1,review-1.1,review-2,review-2.1,review-3,review-3.1,review-4,review-4.1,review-5,reviews-5,review_count,review-1_sentiment,review-2_sentiment,review-3_sentiment,review-4_sentiment,review-5_sentiment,overall_sentiment,rating_norm,sent_norm,volume_boost,rec_score
1,1,Ishaara,1400,4.5,"Biryani, North Indian, Kebab, Mughlai, Desserts

₹1,400 for two",Deva was very courteous and friendly. The ambience and food were awesome.,1,Deva provided excellent service,5,Great service by Pravin Suryawanshi,4,Pravin Suryawanshi Delicious Food and great ambience,3,Sagar Jadhav and Pravin suryawanshi served as very well. overall liked the service of restaurant.,2,4,0.999870181,0.999767363,0.999556839,0.999878526,0.999695301,0.999753642,0.9,0.999876821,0.8,0.909956887
2,3,Darshan,950,4.5,"Continental, North Indian, Chinese, Mexican, Fast Food, Desserts, Juices, Beverages

₹950 for two",Shyam - Good Service,1,"Great service from Shyam !!
Will recommoned this place",5,Shyam service is good,4,Food was good and the service by Shyam bhaiya was superb.,3,Good service by shyam,2,4,0.999828458,0.999477684,0.999809086,0.999859095,0.999764502,0.999747765,0.9,0.999873883,0.8,0.909955859
3,22,Tettoricca,1200,4.4,"North Indian, Continental

₹1,200 for two",Nice evening outing here. Rustom the waiter was really good at service. Enjoyed the night,1,food is tasty and service also good,5,"Good food with good service. Well spoken staff with good recommendations.
Awesome vibe for a cute place.",3,"Service was fantastic, Thanks to Sona for the food suggestions.
The food was perfect. Must visit for friends and family.",2,,,4,0.999839664,0.999872804,0.999874353,0.999876976,,0.999865949,0.88,0.999932975,0.8,0.901976541
4,4,Poise,1200,4.4,"Asian, Chinese

₹1,200 for two",Food and drinks were too good....Yash had served at our table...he was very courteous,1,looking for an ultimate party spot . This place has everythings you need a vibrant dance floor its a kind of place wherethe party never stops . Let us put you on to poise . An impressive bar menu with a wide range of moctails and cocktails refreshing energetic just as the way you want. From startees to mains every disg us packed with craving indian flavous . They delivers on taste rvery singe tine. End your meal on a sweet note with there irresistible desert options. Also there romantic outdoor searings sere the perfect mood. Poise in hinjewadi has you covered for every celebration,5,I really loved this place. It has great ambience and great vibe. Best place to enjoy the party,4,"Poise impressed me with its creative cocktails and well-balanced mocktails were my favorites. The food was fresh, flavorful, and beautifully presented. A great spot if you enjoy good food with a touch of elegance.",3,"Poise in Hinjawadi, Pune, offers a lively ambiance, attentive service, and flavorful dishes, making it a great spot for dining and socializing.",2,4,0.999068916,0.9997105,0.999864221,0.999890208,0.999857187,0.999678206,0.88,0.999839103,0.8,0.901943686
5,27,PizzaExpress,1400,4.3,"Pizza, Italian, Salad, Bakery, Beverages, Coffee, Pasta, Cafe

₹1,400 for two",Very good food and staff,5,Wonderful service. Aarti hosted very well.,4,The food was great.,3,Amazing food love the service,2,,,4,0.999868155,0.999875069,0.999872804,0.999878645,,0.999873668,0.86,0.999936834,0.8,0.893977892
6,28,Apache High Street,1300,4.3,"Finger Food, Continental, Salad

₹1,300 for two",The place has an amazing vibe and great food!!!! Vimal Singh was really cooperative and great service!!!!,5,Good staff n great service,4,"the service was great, everyone is very fridenly and fun place. Vimal singh was our table assistance and he was very friendly.",3,Great service and ambience,2,,,4,0.999884248,0.999812067,0.999841332,0.99986279,,0.999850109,0.86,0.999925055,0.8,0.893973769
7,26,Makaira Kitchen & Bar,1500,4.3,"Chinese, Kebab, Italian, Continental, Biryani, Maharashtrian, North Indian

₹1,500 for two","Awesome Place, tasty food and good offers
we ordered Paneer tikka and Son of dragon, taste is amazing",1,Awesome food and music. One of the finest place to visit for fine and dine ♥️,5,The service and the food both were great. Also the mocktails are really good. Mr. Sanjit was such a sweet person who served us with his service ☺️,4,"Overall a nice experience I went on a friday night with family so the order arrived late but it was delicious. I would recommend visiting once . Ambience is also good

The only thing which i personally didn't like was the song level which was too high other than everything was good",2,,,4,0.999880552,0.999886394,0.9998492,0.997835696,,0.99936296,0.86,0.99968148,0.8,0.893888518
8,7,Qala Cafe & Co - Works,1000,4.3,"Cafe, Coffee, Italian, Continental, Pizza, Fast Food, Salad, Beverages

₹1,000 for two","Simply awesome! We went there for our 4th Anniversary and it is the perfect place for every age group, especially for millennials. Talking about food, we ordered Quesdillas and Pesto Penne Pasta. Super tasty quality food and every food request was taken into consideration. We ordered Mocha from the beverages section which was best in class. Highly recommended for your next dining experience.",1,"great ambience and quality food ,staff is welcoming basically a great place to hangout",5,The place was nice and cozy. The food was great - the Pesto omelet and pancakes were very tasty. The coffee was perfect. I had a great time here. I would definitely go back again. Highly recommend!,4,I ordered the Nutella banana crepe but it was below average. The Nutella was just on the bottom most layer of crepe. The ambience and vibe is really good but the food can be improved.,3,They charge 50 rupees extra to sit and work also the food is pathetic wont recommend at all.,2,4,0.999777496,0.999850988,0.999883413,0.996177793,0.929592788,0.985056496,0.86,0.992528248,0.8,0.891384887
9,34,PizzaExpress,1400,4.2,"Pizza, Italian, Salad, Bakery, Beverages, Coffee, Pasta, Cafe

₹1,400 for two",Very good food and staff,5,Wonderful service. Aarti hosted very well.,4,The food was great.,3,Amazing food love the service,2,,,4,0.999868155,0.999875069,0.999872804,0.999878645,,0.999873668,0.84,0.999936834,0.8,0.885977892
10,31,C - Dock,1500,4.2,"Bar Food

₹1,500 for two","C Dock is an excellent place with a great ambience. The prices are reasonable and the atmosphere is amazing. The dance floor was buzzing, and the DJ kept the energy high with a great mix of music. The staff were friendly and attentive, and the overall atmosphere was lively and inviting. Would definitely visit again🍻",5,"The vibes were just perfect, relaxed yet lively, with a stunning poolside view that made the dining experience even better. The food was delicious, full of flavor and beautifully presented.
The service was quick, polite, and attentive. Whether you’re planning a date night, family dinner, or a get-together with friends, this spot has it all, great ambience, tasty food, and that dreamy pool vibe. Will definitely be back soon!",4,"If you're looking for the perfect blend of delicious food and serene ambience, this place should be at the top of your list. I've visited multiple times, and every single time, they’ve nailed it — from the flavors on the plate to the calming vibe by the pool.
A special mention to Pankaj, who always takes incredible care of guests. He’s warm, attentive, and makes sure your dining experience is smooth from start to finish. Truly a great host and a big part of why I keep coming back! Highly recommend C-Dock.",3,good service and descent food,2,,,4,0.999876499,0.999885559,0.999866366,0.99983561,,0.999866009,0.84,0.999933004,0.8,0.885976552
11,36,Shivlingam- The Sunny's World,1800,4.2,"North Indian, Continental, Italian, Chinese, Salad, Fast Food, Ice Cream

₹1,800 for two",Excellent Preeti Nikita shalu very good service,1,it's was excellent and it was so delicious food.,5,"Excellent Service, Good Food",4,Food is excellent,3,,,4,0.999830246,0.999887109,0.999867678,0.999873877,,0.999864727,0.84,0.999932364,0.8,0.885976327
12,30,Agent Jack's,1800,4.2,"Bar Food, North Indian, Pasta, Continental, Thai, Oriental, Chinese, Pizza

₹1,800 for two",Service was real great people were polite,1,I like food and ambiance I specially like agent jack maze platter,5,Ambience and service is good,4,good food and nice vibe...,3,,,4,0.999699116,0.999747336,0.999865294,0.999876618,,0.999797091,0.84,0.999898545,0.8,0.885964491
13,33,Opel Kitchen Bar,1800,4.2,"North Indian, Bar Food, Continental, Italian, Beverages

₹1,800 for two",Visited a restaurant where there was 0 complaint regarding food. absolutely delicious. very hospitable staff. service could be a bit fast thats all.,1,Really nice experience. If you are looking for something aesthetic you can visit Opel. The service is also really nice.,4,The food was good.. and the best part which I liked was their service they are very attentive,3,The restaurant is newly opened and the service is amazing. Good is delivious. Enjoyed the dining experience. Must visit.,2,,,4,0.999134004,0.999862552,0.999789059,0.999878645,,0.999666065,0.84,0.999833032,0.8,0.885941561
14,11,Flo - The Brewing Club,3000,4.2,"Bar Food, Chinese, Pizza, Biryani

₹3,000 for two",food and vibe was good. Staff members were also helpful especially vijay and yogesh.I definitely want to visit again.,1,nice service promodh,5,"Where do I start, I would say the Ambience, sound and culture is 10/10!
and one of my favourite Concierge is Bijay Prasad what a chill guy for chill place!",4,"Sham and Vijay made our experience even better because of their good service.

food is top class, ambience is excellent and guava craft beer is the best I had so far.",3,we were highly impressed by service from Atharva :),2,4,0.999862552,0.99812144,0.990063012,0.999834895,0.999413133,0.997459006,0.84,0.998729503,0.8,0.885555326
15,32,FML - Food Music Love,1900,4.2,"Chinese, Continental, North Indian, Oriental, Italian, Desserts

₹1,900 for two",Good service,1,Met satya in fml was serving a quality service,5,"the place was good and service also good , food avarage",4,very nice ambience and staf is very kind specially pradip,2,,,4,0.999849916,0.872273862,0.999582827,0.999294758,,0.967750341,0.84,0.98387517,0.8,0.88035631
16,37,Teera,1800,4.1,"North Indian, Continental, Mughlai, Chinese, Fast Food, Desserts, Beverages, Shake

₹1,800 for two",nice ambience,1,Food is good service I also very good. sumit did a pretty good job at service..,5,The ambience is awesome and so is the service provided by Mr. Sumit.,4,sumit was great at his service,2,,,4,0.999845147,0.99986589,0.999872327,0.999842286,,0.999856412,0.82,0.999928206,0.8,0.877974872
17,12,Akasa Poolbar & Kitchen,2000,4.1,"Continental, North Indian, Bar Food, Asian, Italian

₹2,000 for two",Bhuvan goswami was a good host n service partner,1,"The poolside seating is the highlight — whether you want to chill with friends or celebrate something special, it gives you a resort-like feel without leaving the city. Music was upbeat but not overpowering, and the staff was courteous and attentive.",5,"One of the best places in pune to experience a great poolside cool ambeince.
The food is good too,you can surely visit for a different experience!!",4,"Absolutely loved my experience at Akasa! The restaurant has a beautiful, serene vibe with stunning poolside seating and lush greenery all around. It’s the perfect blend of nature and luxury. The views are amazing — especially around sunset! 🌅

The food was delicious, beautifully presented, and full of flavor. Whether you're here for a romantic dinner or a peaceful brunch, Akasa is a must-visit. Great ambiance, great food, and a truly relaxing escape.",3,Very polite handling and fast service by Pushkar.,2,4,0.999567091,0.999624968,0.999850154,0.999886394,0.998783886,0.999542499,0.82,0.999771249,0.8,0.877919937
18,44,Gong,2000,4.7,"Chinese, Sushi, Asian, Japanese, Thai, Salad, Desserts, Beverages

₹2,000 for two",This is a must visit place for Pan Asian food lovers :),5,Awesome food and mind-blowing service professionals !! I highly recommend this place to go,4,Shiva was a great host. the food was amazing,2,,,,,3,0.999516249,0.999885917,0.999873638,,,0.999758601,0.94,0.999879301,0.6,0.875957755
19,46,Cherie,1900,4.6,"Asian, Modern Indian, Chinese, Italian, Salad, Continental, Desserts

₹1,900 for two","Awesome food ,nice ambiance
Thanks you jayesh for ur service",1,"Service, food and ambience was very comfortable and soothing. Rakesh was very helpful.",4,"the food was good and the service was fast, Rakesh was good with suggestions over dishes and service. overall Very lovely place",3,,,,,3,0.999862909,0.999839902,0.999861479,,,0.999854763,0.92,0.999927382,0.6,0.867974584
20,49,Elephant & Co.,2000,4.5,"Continental, Salad, Asian, Italian, Desserts, Beverages

₹2,000 for two","It was a great experience, Tej our server was very attentive and the service was very quick. Great ambience for a date and a get together with friends ❤️",4,good service by rohit,3,Great service by rohit,2,,,,,3,0.999220848,0.999818265,0.999742568,,,0.999593894,0.9,0.999796947,0.6,0.859928931
21,0,Merchant & Me,2500,4.7,"North Indian, Alcoholic Beverages, Kebab, Pizza, Finger Food, Desserts, Beverages

₹2,500 for two","sanjit
thank you for your recommendation and service",1,Kundan was very helpful ans friendly. The service was good . they can increase the qty of br8yani though.,5,"Good place with nice ambiance. The service is bit slow but I think it’s due to food being prepared fresh .
Taste is very good .
Overall a good experience, my kid really enjoyed the food.",4,Food was not upto the mark.,3,Good food but limited menu,2,4,0.999763787,0.999587357,0.999854565,-0.999601781,0.991281211,0.598177028,0.94,0.799088514,0.8,0.85568098
22,39,The Kuti Project,1100,3.8,"Cafe, Coffee, Pizza, Sandwich, Fast Food, Desserts, Shake, Beverages

₹1,100 for two","Looking for a cafe that vibes just right? Kuti Project Cafe in Baner is your go-to spot! Whether you’re planning a chill hangout with friends or a cozy date, this spacious cafe with charming indoor and outdoor seating ticks all the boxes. The peaceful, cute ambience pairs perfectly with their diverse menu. Don’t miss must-try dishes like the Titae Olives Jalapeno Peppers Pizza, Lal Math Ravioli, Orange Tonic Espresso, and Emily Greens. Great for working, gaming, or just making memories!",5,"The Kuti Project offers a unique blend of modern Indian fusion with a creative menu and aesthetic plating. The Cannelloni Vangi and Aamras Cream were standout dishes. However, the service could be improved — we had to wait longer than expected. Worth a visit if you’re not in a rush!",4,nice ambience and good stuff,3,"Found this place randomly, Ample amount of car parking space, Vibe is great, Beautiful decor, Nice place to hangout or for date,
Little heavy to pocket, Food was Ok ok, Loved the Vietnams coffee",2,,,4,0.999731839,0.996068954,0.999876738,0.999750435,,0.998856992,0.76,0.999428496,0.8,0.853799974
23,53,1BHK Superbar,1800,4.4,"North Indian, Asian, Italian, European, Continental, Mediterranean, American, Seafood

₹1,800 for two","service was great, saul assisted really well.",4,Thank you Saul for the hospitality. Good food. Great vibe.,3,"Good place
Great food.",2,,,,,3,0.999841213,0.999873996,0.999878407,,,0.999864539,0.88,0.999932269,0.6,0.851976294
24,55,Nieesh,1400,4.3,"North Indian, Mexican, Italian, Oriental, Mughlai, Seafood, Chinese, Desserts

₹1,400 for two","Agro from out of Pune, enjoyed food very well with the ambience and the friendly Service, especially by Mr Joy",1,"Absolutely fantastic experience at Nieesh
The non-veg dishes were full of authentic Indian flavors-perfectly spiced,rich,and delicious the service was truly exceptional-staff were attentive,friendly,and made us feel welcome from the moment we arrived everything was served promptly and with care highly recommended for anyone looking to enjoy quality Indian cuisine with top-notch hospitality ⭐️⭐️⭐️⭐️⭐️",4,"The food and drinks were amazing! Our server- Joy, was very polite and helpful.
Great experience!",3,,,,,3,0.999871969,0.999878883,0.999874711,,,0.999875188,0.86,0.999937594,0.6,0.843978158
25,2,Masala Mehfil,1200,4.5,"Maharashtrian, North Indian, Seafood, Biryani, Beverages, Alcoholic Beverages

₹1,200 for two",The food is very tasty and as name says masala's are awesome. Quantity is very good and get good amount of chicken/mutton pieces in a dish,1,I ordered tomato soup and it was the worst soup I have ever tasted like too much salty I don't know feels like they've added ketchup or something. I couldn't drink more than 2 spoons,5,"Delicious Food & Great Vibes!

Masala Mehfil totally lived up to the hype! The food is packed with amazing regional flavors – you can really tell they put love into every dish. Everything we tried was super tasty!

The place has such a nice vibe too. It’s stylish but still feels really comfortable, perfect for a chill dinner with friends or family.

And shoutout to the staff – they were super friendly and helpful, made the whole experience even better.",4,"I am big fan of authentic food, i stay in balewadi baner side only it’s a perfect for me i was always looking for such vibe",3,"Last evening i visited masala mehfil was really good taste and variety on the menu was really nice. Must try Shahi Sabz Seekh Kebab and modak icecream.
Highly recommend it.",2,4,0.999823987,-0.999621034,0.999868751,0.999607503,0.999822199,0.599900281,0.9,0.799950141,0.8,0.839982549
26,58,Cafe Blu by Radisson Blu Hinjewadi,2900,4.2,"North Indian, South Indian, Biryani, Goan, Maharashtrian, Pizza, Desserts

₹2,900 for two","Had an amazing seafood buffet at Cafe Blu! The spread was super fresh and flavorful. Absolutely loved the Kerala-style prawns, rich and spicy just the way I like it. The Konkani dishes were a treat, and the desserts were the perfect sweet ending. Totally worth it for seafood lovers!",5,Food was good. Thank you Abhijeet and team for the humble service!,4,Abhijit’s service is very good. Highly professional and polite.,2,,,,,3,0.999879837,0.999864936,0.999859691,,,0.999868155,0.84,0.999934077,0.6,0.835976927
27,57,Ice N Fire Sky Lounge,1800,4.2,"Bar Food, Continental, North Indian, Pizza, Burger, Pasta, Chinese, Desserts

₹1,800 for two",Abhishek provided a good service,5,food is really good,3,Good service by Abhishek,2,,,,,3,0.99980396,0.999866128,0.99979192,,,0.999820669,0.84,0.999910335,0.6,0.835968617
28,5,The Ruby Hilltop - Sunny's World,1600,4.4,"Bar Food, Chinese, North Indian, Asian, Italian, Mughlai, Beverages, Desserts

₹1,600 for two","This was my 4th Visit, but the quality of food has gone down. Hope this would be my last visit",1,yasim and suraj : thanks for wonderful service,5,Good quality of food. We tried BBQ Chicken Tikka & Fried chicken garlic rice. It was awesome. Good service by Yaseen.,4,"Great food, great ambience, very nice service. Great hospitality staff particularly Yaseen provided great n prompt service n nice suggestions",3,Excellent service by Yaseen. Food is very good.,2,4,-0.997368574,0.99985981,0.999795735,0.999852896,0.999847531,0.60039748,0.88,0.80019874,0.8,0.832069559
29,21,Filament Bar,1800,4.5,"Turkish, Middle Eastern, North Indian, Continental, Asian

₹1,800 for two",food and ambience is awesome....Aktav served and suggested good choices of food to us...his service was very prompt and good.,1,"service can be improved, chicken is excellent but marination was salty",5,It was a wonderful night with friend . Food was amazing specially the mini kulcha boti taco and and chicken wings. The staff was so attentive and polite,4,"Hello,

ambience and food quality is superb. really loved it. we went here with a group of 17 people and enjoyed a lot
serving style and presentation is very attractive
I am rating 3/5 just because of quantity as compared to price.
all items are overpriced and quantity is very poor as compared to it",2,,,4,0.999858856,-0.769038558,0.999810159,0.952838778,,0.545867309,0.9,0.772933654,0.8,0.830526779
30,59,Hotel Shivprasad Veg - Nonveg,350,4.1,"North Indian, Chinese

₹350 for two",Good food amazing service,2,Good food and ambience,1,Good staff,4,,,,,3,0.999875784,0.999875546,0.99984479,,,0.999865373,0.82,0.999932686,0.6,0.82797644
31,6,Mood Drums Kitchen & Bar,1000,4.3,"North Indian, Italian, Alcoholic Beverages, Bar Food, Chinese, Fast Food, Salad

₹1,000 for two",Great service. Shubham server was very hospitable,1,Very quick service and yummy food,5,The music was too loud and the food doesn’t taste good at all.,4,Good food good music,3,"Such a lovely spot right opposite the IT Park! Perfect place to unwind with family — the live music added a soulful vibe 🎶. The food was absolutely delicious, and the ambience was warm, welcoming, and beautifully done. Great service too! Highly recommend if you're looking for a cozy evening with good food and good vibes.",2,4,0.996340394,0.99857688,-0.999806583,0.999863863,0.99988246,0.598971403,0.86,0.799485701,0.8,0.823819995
32,19,Torre - Gourmet Dining & Bar,1200,4.5,"Fast Food, Bar Food, Finger Food

₹1,200 for two","Torre had been on my list for a few months for now after it was highly recommended to me by a friend. I finally had a chance to visit this place on a weekday, monday with a friend. Torre is located on Balewadi High Street. Two wheeler and Four wheeler parking available. To my great surprise, this restaurant is located in an under construction building. It is a medium sized outlet with majorly indoor seating. The indoor ambience is good with bright vibrant lights. The place was completely empty and we were their only customers throughout the night. Torre specializes in serving Mexican food. We ordered their Empanadas Del Sol and Vegetable Fajitas. The Empanads were really great. Fried to...read more",1,great food and very good service,4,amazing service with great taste,3,Late services,2,,,4,0.999195993,0.99988091,0.999880433,-0.991976678,,0.501745164,0.9,0.750872582,0.8,0.822805404
33,20,Ava Artisan Kitchen & Bar,1200,4.5,"North Indian, Chinese, Continental, Sushi, Asian, Italian

₹1,200 for two",food was very good taste was excellent and service was also nice pranati was superb,1,Amazing food and excellent service,5,"Worst place to go with family. Rude staff, very unprofessional. Do not know the manners of attaining customers. I would recommend not to go here.",4,Great food! Best service we have experienced in a while. The staff was so keen and observant to our needs. Coriander chilli garlic prawns are a must try.,2,,,4,0.999843597,0.999882817,-0.999778807,0.99966836,,0.499903992,0.9,0.749951996,0.8,0.822483199
34,9,Thikana,1800,4.2,"North Indian, Italian, Pasta, Continental, Pizza, Biryani, Beverages

₹1,800 for two",Kamal was good at service,1,Good service by vishal,5,Kamal was great at service,4,"Worst services like slow delivery times, inattentive staff and also lack of professionalism",3,"Good Food , Very Nice service by Kamal",2,4,0.999786556,0.999823272,0.999822438,-0.999818742,0.999867082,0.599896121,0.84,0.799948061,0.8,0.815981821
35,23,Circuit House,2000,4.4,"North Indian, Italian, Continental, Chinese, Mughlai, Desserts, Beverages

₹2,000 for two","Nice ambience and service was also good by Narayan.
Overall a good experience",1,"Had mutton ghee roast and butter chicken, very good food. very good service by Narayan..staff very helpful and polite.",4,"Valet was very rude. He denied to take car even though there were 3 people present. They had no idea how to talk to guests.. ready to fight
Food was fine but the overall experience was pathetic because of this incident. No one really cared to even be bothered about it",3,"Narayan and the staff has great service, food’s great and overall a good ambiance",2,,,4,0.999859214,0.999732196,-0.999582946,0.999879122,,0.499971896,0.88,0.749985948,0.8,0.814495082
36,25,Portico - Sayaji Hotel,1600,4.4,"North Indian, Asian, Fast Food, Salad, South Indian, Bar Food, Beverages

₹1,600 for two","I prefer going to Portico because the food has been great in the past. but lately, the service has been downgraded. the plates are not stocked on time. the chef and waiter are seen arguing while the customers are on the counters. if you ask for glass or bowl while at the counter, they hardly acknowledge and then make you wait while they are busy with something else. the quality of food was not upto the mark. the veg and non veg buffet costs the same which seems too much for the vegetarian to be paying for. at the entrance lobby, they have a sign that says no tipping with the note that you don't tip your close ones.. and the irony is that they add service charge to the bill. Isn't that the...read more",1,"Recommended, food is delicious and staff humble on service.",5,Good service by Harshal and Rohan,4,Food packaging,3,,,4,-0.999292493,0.999858618,0.999611795,0.992438614,,0.498154134,0.88,0.749077067,0.8,0.814176973
37,61,Daily Dosa,250,3.9,"South Indian, Fast Food

₹250 for two","Great taste

-Shiva",1,The taste here is good. Even the quality of the food is great.,5,Dosa is crunchy & sambar is spicy like us taste is maitain as per our requirement most recommended Thank you Daily Dosa😋,3,,,,,3,0.999774992,0.999873042,0.99745816,,,0.999035398,0.78,0.999517699,0.6,0.811831195
